hhsize,sexo,hours_worked,province,inschool,minutes_work,minutes_study,minutes_bbsit,minutes_hprod,indig,RMG,year,FACTORY,age,FAC_AGE
13,femenino ,0,chimaltenango,1,0,480,120,0,1,0,2011,1,10,10
13,masculino,0,chimaltenango,1,0,480,0,0,1,0,2011,1,8,8
13,femenino ,25,chimaltenango,0,60,0,0,360,1,0,2011,1,17,17
13,masculino,25,chimaltenango,0,60,0,0,300,1,0,2011,1,18,18
13,femenino ,25,chimaltenango,0,60,0,0,300,1,0,2011,1,15,15
13,masculino,25,chimaltenango,0,60,0,0,300,1,0,2011,1,13,13
13,masculino,0,chimaltenango,1,0,480,0,0,1,0,2011,1,11,11
5,masculino,0,totonicapan,1,0,0,0,60,1,0,2014,1,8,8
6,masculino,48,totonicapan,1,480,0,0,0,1,0,2014,1,11,11
6,femenino ,48,totonicapan,1,480,0,120,150,1,1,2014,1,14,14
6,masculino,0,totonicapan,1,0,0,120,540,1,0,2014,1,10,10
2,femenino ,0,chimaltenango,1,0,120,0,2,1,0,2011,1,8,8
6,masculino,0,totonicapan,1,0,0,0,60,1,0,2014,1,7,7
6,femenino ,0,totonicapan,1,0,0,0,60,1,0,2014,1,11,11
3,femenino ,0,chimaltenango,1,0,420,0,0,1,0,2011,1,7,7
3,masculino,0,chimaltenango,1,0,420,0,0,1,0,2011,1,9,9
4,masculino,3,totonicapan,1,0,0,0,630,1,0,2014,1,15,15
4,femenino ,17,totonicapan,1,0,0,0,330,1,0,2014,1,14,14
7,masculino,0,chimaltenango,1,0,600,0,0,1,0,2011,1,12,12
7,masculino,0,chimaltenango,1,0,600,0,0,1,0,2011,1,8,8
7,masculino,90,chimaltenango,0,720,0,0,0,1,0,2011,1,15,15
7,femenino ,0,chimaltenango,1,0,600,0,20,1,0,2011,1,9,9
4,masculino,60,totonicapan,1,0,0,0,600,1,0,2014,1,9,9
8,femenino ,0,chimaltenango,1,0,180,0,0,1,0,2011,1,11,11
8,femenino ,0,chimaltenango,1,0,180,0,0,1,0,2011,1,9,9
6,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,14,14
6,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,9,9
6,masculino,0,totonicapan,1,0,0,0,360,1,0,2014,1,12,12
6,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,17,17
5,femenino ,0,chimaltenango,1,0,240,0,0,1,0,2011,1,13,13
5,femenino ,0,chimaltenango,1,0,240,0,30,1,0,2011,1,10,10
5,femenino ,0,solola,1,0,480,0,0,1,0,2011,1,10,10
7,masculino,0,totonicapan,1,0,120,0,240,1,0,2014,1,13,13
7,femenino ,0,totonicapan,1,0,120,0,0,1,0,2014,1,11,11
7,masculino,0,totonicapan,1,0,60,0,180,1,0,2014,1,9,9
7,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,7,7
7,femenino ,0,totonicapan,1,0,120,0,360,1,0,2014,1,14,14
6,femenino ,10,solola,1,0,0,120,155,1,1,2011,1,12,12
6,masculino,24,solola,1,30,180,60,360,1,0,2011,1,14,14
6,femenino ,14,totonicapan,1,65,365,0,10,1,0,2014,1,8,8
8,masculino,0,retalhuleu,0,0,0,,0,1,0,2006,0,7,0
8,masculino,0,retalhuleu,1,0,375,,0,1,0,2006,0,16,0
8,masculino,0,retalhuleu,1,0,120,,0,1,0,2006,0,12,0
8,femenino ,0,retalhuleu,1,0,0,,0,1,0,2006,0,10,0
8,femenino ,0,retalhuleu,0,0,0,,540,1,0,2006,0,17,0
3,masculino,0,solola,1,0,480,0,0,1,0,2011,1,9,9
9,femenino ,0,totonicapan,1,0,0,0,15,1,0,2014,1,14,14
9,femenino ,0,totonicapan,1,0,0,0,30,1,0,2014,1,10,10
9,femenino ,8,totonicapan,1,480,0,0,90,1,1,2014,1,17,17
9,masculino,0,totonicapan,1,0,0,0,20,1,0,2014,1,8,8
5,masculino,20,chimaltenango,0,60,0,0,480,1,0,2011,1,15,15
3,masculino,0,totonicapan,1,120,600,0,0,1,0,2014,1,18,18
7,femenino ,0,chimaltenango,1,0,0,180,0,1,0,2011,1,11,11
7,masculino,8,chimaltenango,1,0,0,120,0,1,0,2011,1,8,8
9,masculino,0,totonicapan,1,60,420,0,0,1,0,2014,1,10,10
9,femenino ,0,totonicapan,1,60,390,0,0,1,0,2014,1,8,8
6,femenino ,0,chimaltenango,1,0,240,0,120,1,0,2011,1,9,9
6,masculino,5,chimaltenango,1,0,240,0,300,1,0,2011,1,16,16
6,femenino ,47,chimaltenango,1,0,240,0,420,1,1,2011,1,12,12
6,femenino ,47,chimaltenango,0,0,0,0,450,1,1,2011,1,14,14
6,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,15,15
6,femenino ,0,totonicapan,1,0,0,60,0,1,0,2014,1,12,12
12,masculino,0,totonicapan,1,0,90,0,0,1,0,2014,1,14,14
12,masculino,0,totonicapan,1,0,120,0,0,1,0,2014,1,16,16
12,masculino,0,totonicapan,1,0,60,0,0,1,0,2014,1,12,12
12,femenino ,0,totonicapan,1,0,360,0,160,1,0,2014,1,18,18
12,masculino,0,totonicapan,1,0,60,0,0,1,0,2014,1,10,10
7,masculino,0,chimaltenango,1,0,480,120,0,1,0,2011,1,10,10
7,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,10,10
7,masculino,54,totonicapan,0,480,0,0,0,1,0,2014,1,15,15
7,femenino ,0,totonicapan,0,0,0,0,0,1,0,2014,1,17,17
7,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,8,8
8,femenino ,0,totonicapan,0,0,0,0,540,1,0,2014,1,18,18
8,masculino,54,totonicapan,0,540,0,0,300,1,1,2014,1,17,17
7,masculino,0,totonicapan,1,0,0,0,120,1,0,2014,1,10,10
7,femenino ,0,totonicapan,1,0,0,0,120,1,0,2014,1,7,7
7,femenino ,0,totonicapan,1,0,0,0,480,1,0,2014,1,15,15
7,femenino ,0,totonicapan,1,0,0,0,480,1,0,2014,1,13,13
5,femenino ,0,totonicapan,1,0,180,0,120,1,0,2014,1,7,7
7,masculino,0,totonicapan,1,30,450,0,90,1,0,2014,1,15,15
7,masculino,0,totonicapan,1,30,450,0,150,1,0,2014,1,7,7
4,femenino ,0,totonicapan,1,0,180,60,240,1,0,2014,1,9,9
4,femenino ,0,totonicapan,0,0,0,0,1140,1,0,2014,1,18,18
9,masculino,0,retalhuleu,0,0,0,,240,1,0,2006,0,17,0
9,femenino ,0,retalhuleu,0,0,0,,840,1,0,2006,0,15,0
9,masculino,0,retalhuleu,1,0,360,,60,1,0,2006,0,7,0
9,masculino,0,retalhuleu,0,0,0,,360,1,0,2006,0,13,0
9,masculino,0,retalhuleu,1,0,360,,120,1,0,2006,0,11,0
4,femenino ,0,totonicapan,1,10,370,0,1440,1,0,2014,1,10,10
5,femenino ,35,retalhuleu,0,0,0,,1080,1,0,2006,0,16,0
5,femenino ,0,retalhuleu,1,0,360,,240,1,0,2006,0,10,0
5,femenino ,0,retalhuleu,1,0,360,,240,1,0,2006,0,11,0
5,masculino,0,retalhuleu,1,0,360,,300,1,0,2006,0,13,0
8,masculino,54,totonicapan,0,540,0,0,0,1,0,2014,1,17,17
8,masculino,0,totonicapan,1,0,0,120,300,1,0,2014,1,11,11
8,femenino ,0,totonicapan,0,0,0,120,600,1,0,2014,1,15,15
8,femenino ,0,totonicapan,1,0,0,120,240,1,0,2014,1,7,7
3,masculino,0,totonicapan,1,30,390,0,270,1,0,2014,1,14,14
2,masculino,0,totonicapan,1,0,0,0,300,1,0,2014,1,11,11
7,masculino,0,totonicapan,1,10,430,0,290,1,0,2014,1,9,9
7,masculino,51,totonicapan,0,540,0,0,120,1,1,2014,1,18,18
7,femenino ,0,totonicapan,1,10,430,0,170,1,0,2014,1,13,13
7,femenino ,0,totonicapan,0,0,0,0,840,1,0,2014,1,17,17
7,masculino,0,totonicapan,0,0,0,0,60,1,0,2014,1,15,15
4,femenino ,40,totonicapan,0,300,0,0,300,1,1,2014,1,15,15
4,masculino,32,totonicapan,0,480,0,0,0,1,1,2014,1,18,18
5,femenino ,30,totonicapan,0,0,0,0,480,1,0,2014,1,16,16
5,femenino ,0,totonicapan,0,0,0,0,320,1,0,2014,1,12,12
5,masculino,0,totonicapan,1,30,450,0,30,1,0,2014,1,10,10
6,femenino ,0,retalhuleu,1,0,360,,300,1,0,2006,0,11,0
6,femenino ,28,retalhuleu,1,0,360,,780,1,0,2006,0,15,0
6,masculino,28,retalhuleu,1,0,360,,840,1,0,2006,0,13,0
9,femenino ,0,totonicapan,0,0,0,120,530,1,0,2014,1,16,16
9,masculino,15,totonicapan,0,0,0,0,390,1,0,2014,1,14,14
9,femenino ,0,totonicapan,1,60,450,0,80,1,0,2014,1,12,12
9,masculino,0,totonicapan,1,60,480,0,0,1,0,2014,1,10,10
9,femenino ,90,totonicapan,0,780,0,0,0,1,0,2014,1,17,17
6,femenino ,0,retalhuleu,1,0,360,,240,1,0,2006,0,8,0
7,masculino,0,totonicapan,1,10,370,120,60,1,0,2014,1,10,10
7,masculino,0,totonicapan,1,10,400,0,0,1,0,2014,1,8,8
7,masculino,0,totonicapan,1,10,370,120,60,1,0,2014,1,13,13
7,masculino,0,totonicapan,1,10,400,0,30,1,0,2014,1,10,10
7,femenino ,0,totonicapan,1,10,370,0,0,1,0,2014,1,8,8
10,femenino ,36,retalhuleu,0,360,0,,0,1,0,2006,0,17,0
10,masculino,0,retalhuleu,0,0,0,,480,1,0,2006,0,15,0
10,femenino ,0,retalhuleu,1,0,360,,0,1,0,2006,0,13,0
10,masculino,0,retalhuleu,1,0,360,,0,1,0,2006,0,9,0
10,femenino ,0,retalhuleu,1,0,360,,0,1,0,2006,0,11,0
10,femenino ,0,totonicapan,0,0,0,0,90,1,0,2014,1,16,16
10,femenino ,0,totonicapan,1,10,400,0,0,1,0,2014,1,11,11
10,femenino ,0,totonicapan,0,0,0,0,375,1,0,2014,1,14,14
10,masculino,27,totonicapan,0,0,0,0,90,1,0,2014,1,18,18
10,masculino,0,totonicapan,1,10,370,0,0,1,0,2014,1,8,8
10,femenino ,0,totonicapan,1,10,400,0,0,1,0,2014,1,13,13
9,masculino,0,totonicapan,1,390,390,0,0,1,0,2014,1,7,7
9,masculino,0,totonicapan,1,390,390,0,0,1,0,2014,1,9,9
4,masculino,0,totonicapan,1,30,450,0,0,1,0,2014,1,13,13
9,masculino,48,totonicapan,0,420,0,0,180,1,1,2014,1,16,16
9,femenino ,0,totonicapan,0,0,0,0,720,1,0,2014,1,14,14
9,masculino,48,totonicapan,0,420,0,0,180,1,1,2014,1,18,18
9,femenino ,0,totonicapan,1,0,0,0,600,1,0,2014,1,7,7
11,femenino ,0,retalhuleu,1,0,420,,0,1,0,2006,0,10,0
11,masculino,0,retalhuleu,0,0,0,,0,1,0,2006,0,7,0
11,masculino,0,retalhuleu,1,0,450,,20,1,0,2006,0,11,0
11,femenino ,0,retalhuleu,1,0,420,,480,1,0,2006,0,15,0
11,femenino ,55,retalhuleu,0,600,0,,120,1,0,2006,0,16,0
11,masculino,0,retalhuleu,1,0,420,,0,1,0,2006,0,8,0
4,femenino ,0,totonicapan,1,0,0,0,600,1,0,2014,1,10,10
4,masculino,65,totonicapan,0,900,0,0,0,1,1,2014,1,16,16
11,femenino ,40,totonicapan,1,0,0,0,720,1,0,2014,1,12,12
11,masculino,40,totonicapan,1,0,0,0,720,1,0,2014,1,17,17
11,masculino,40,totonicapan,1,0,0,0,720,1,0,2014,1,10,10
11,masculino,40,totonicapan,1,0,0,0,720,1,0,2014,1,15,15
11,femenino ,0,totonicapan,1,0,0,0,780,1,0,2014,1,8,8
4,femenino ,40,totonicapan,0,0,0,0,600,1,0,2014,1,18,18
4,masculino,40,totonicapan,0,0,0,0,600,1,0,2014,1,17,17
4,femenino ,0,totonicapan,1,0,0,0,480,1,0,2014,1,12,12
4,masculino,0,totonicapan,1,0,0,0,480,1,0,2014,1,10,10
5,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,11,11
5,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,14,14
5,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,15,15
4,femenino ,0,retalhuleu,1,0,380,,240,1,0,2006,0,9,0
4,femenino ,0,retalhuleu,1,0,330,,195,1,0,2006,0,7,0
5,masculino,0,totonicapan,1,0,0,0,60,1,0,2014,1,9,9
5,masculino,0,totonicapan,1,0,0,0,60,1,0,2014,1,11,11
4,femenino ,0,retalhuleu,1,0,0,,390,1,0,2006,0,7,0
4,femenino ,0,retalhuleu,1,0,0,,270,1,0,2006,0,13,0
4,femenino ,0,retalhuleu,1,0,0,,300,1,0,2006,0,10,0
10,femenino ,0,totonicapan,0,0,0,0,420,1,0,2014,1,16,16
4,masculino,0,retalhuleu,1,0,450,,0,1,0,2006,0,8,0
6,femenino ,0,totonicapan,1,30,510,0,270,1,0,2014,1,12,12
6,masculino,0,totonicapan,0,0,0,0,120,1,0,2014,1,15,15
6,masculino,48,totonicapan,0,480,0,0,0,1,0,2014,1,18,18
16,masculino,0,totonicapan,1,10,310,0,0,1,0,2014,1,11,11
16,femenino ,72,totonicapan,0,720,0,0,0,1,0,2014,1,18,18
16,femenino ,0,totonicapan,0,0,0,120,300,1,0,2014,1,13,13
16,masculino,60,totonicapan,0,600,0,0,0,1,0,2014,1,16,16
16,femenino ,0,totonicapan,1,10,310,0,0,1,0,2014,1,9,9
16,masculino,0,totonicapan,1,0,300,0,0,1,0,2014,1,11,11
16,femenino ,60,totonicapan,0,600,0,0,0,1,0,2014,1,14,14
16,masculino,0,totonicapan,1,10,310,0,50,1,0,2014,1,9,9
16,femenino ,0,totonicapan,1,10,310,0,0,1,0,2014,1,7,7
5,masculino,0,retalhuleu,0,0,0,,0,1,0,2006,0,11,0
5,femenino ,0,retalhuleu,1,0,380,,0,1,0,2006,0,8,0
9,femenino ,7,totonicapan,1,0,0,0,360,1,0,2014,1,15,15
9,masculino,6,totonicapan,1,0,0,0,360,1,0,2014,1,10,10
9,femenino ,6,totonicapan,1,0,0,0,330,1,1,2014,1,17,17
9,femenino ,21,totonicapan,0,0,0,0,330,1,0,2014,1,18,18
9,femenino ,0,retalhuleu,0,0,0,,270,1,0,2006,0,7,0
9,femenino ,0,retalhuleu,0,0,0,,120,1,0,2006,0,17,0
9,masculino,0,retalhuleu,0,0,0,,330,1,0,2006,0,14,0
9,femenino ,0,retalhuleu,0,0,0,,480,1,0,2006,0,12,0
9,masculino,0,retalhuleu,1,0,465,,0,1,0,2006,0,9,0
3,femenino ,0,totonicapan,0,0,0,0,1440,1,0,2014,1,8,8
10,masculino,36,totonicapan,0,0,0,0,0,1,1,2014,1,13,13
10,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,8,8
10,femenino ,48,totonicapan,0,0,0,0,30,1,0,2014,1,16,16
10,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,14,14
10,femenino ,0,totonicapan,0,0,0,0,0,1,0,2014,1,11,11
3,femenino ,0,retalhuleu,1,0,420,,180,1,0,2006,0,9,0
5,masculino,0,totonicapan,1,0,0,180,0,1,0,2014,1,10,10
6,masculino,0,retalhuleu,1,0,360,,15,1,0,2006,0,13,0
6,femenino ,0,retalhuleu,0,0,0,,420,1,0,2006,0,16,0
8,masculino,0,retalhuleu,1,0,360,,15,1,0,2006,0,8,0
8,masculino,34,retalhuleu,0,0,0,,720,1,0,2006,0,14,0
8,masculino,34,retalhuleu,1,0,0,,860,1,0,2006,0,17,0
8,masculino,6,retalhuleu,1,0,360,,240,1,0,2006,0,12,0
8,masculino,0,retalhuleu,1,0,420,,30,1,0,2006,0,10,0
9,masculino,0,retalhuleu,1,0,300,,0,1,0,2006,0,7,0
9,masculino,5,retalhuleu,1,0,420,,30,1,0,2006,0,14,0
9,masculino,17,retalhuleu,0,330,0,,10,1,0,2006,0,17,0
9,masculino,0,retalhuleu,1,0,420,,0,1,0,2006,0,8,0
9,femenino ,0,retalhuleu,1,0,180,,240,1,0,2006,0,8,0
9,femenino ,0,retalhuleu,1,0,420,,180,1,0,2006,0,12,0
5,masculino,40,totonicapan,0,0,0,0,600,1,0,2014,1,18,18
5,masculino,0,totonicapan,1,5,365,0,0,1,0,2014,1,14,14
5,femenino ,40,totonicapan,0,0,0,0,600,1,0,2014,1,16,16
6,masculino,48,totonicapan,0,0,0,0,0,1,0,2014,1,17,17
7,femenino ,0,totonicapan,1,10,490,0,0,1,0,2014,1,15,15
7,femenino ,0,totonicapan,1,10,490,0,180,1,0,2014,1,18,18
7,femenino ,0,totonicapan,1,5,485,0,0,1,0,2014,1,10,10
9,masculino,0,retalhuleu,1,0,420,,10,1,0,2006,0,9,0
9,masculino,9,retalhuleu,0,180,0,,180,1,0,2006,0,16,0
9,femenino ,0,retalhuleu,0,0,0,,895,1,0,2006,0,18,0
9,femenino ,0,retalhuleu,0,0,0,,240,1,0,2006,0,11,0
9,masculino,5,retalhuleu,1,0,360,,150,1,0,2006,0,13,0
4,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,12,12
4,masculino,0,totonicapan,1,0,0,0,30,1,0,2014,1,14,14
4,masculino,0,totonicapan,1,0,0,0,30,1,0,2014,1,15,15
4,femenino ,0,retalhuleu,1,0,420,,150,1,0,2006,0,12,0
5,femenino ,0,totonicapan,1,30,450,0,90,1,0,2014,1,12,12
5,femenino ,0,totonicapan,1,30,450,0,0,1,0,2014,1,8,8
11,masculino,36,retalhuleu,0,0,0,,720,1,0,2006,0,15,0
11,masculino,0,retalhuleu,0,0,0,,0,1,0,2006,0,16,0
11,masculino,6,retalhuleu,1,0,0,,720,1,0,2006,0,12,0
11,femenino ,0,retalhuleu,1,0,0,,240,1,0,2006,0,10,0
11,masculino,6,retalhuleu,1,0,0,,0,1,0,2006,0,12,0
11,masculino,0,retalhuleu,1,0,0,,0,1,0,2006,0,8,0
11,masculino,0,retalhuleu,1,0,0,,75,1,0,2006,0,8,0
2,femenino ,42,totonicapan,0,420,0,0,60,1,0,2014,1,14,14
10,masculino,0,retalhuleu,1,0,360,,240,1,0,2006,0,14,0
10,masculino,36,retalhuleu,0,360,0,,600,1,0,2006,0,16,0
10,femenino ,0,retalhuleu,1,0,360,,360,1,0,2006,0,12,0
10,femenino ,0,retalhuleu,1,0,480,,243,1,0,2006,0,13,0
10,femenino ,0,retalhuleu,0,0,0,,660,1,0,2006,0,16,0
5,femenino ,0,totonicapan,0,0,0,120,480,1,0,2014,1,17,17
7,masculino,0,retalhuleu,1,0,360,,180,1,0,2006,0,10,0
7,femenino ,0,retalhuleu,1,0,360,,300,1,0,2006,0,8,0
6,femenino ,0,totonicapan,1,0,0,120,360,1,0,2014,1,9,9
6,femenino ,0,totonicapan,1,0,0,120,240,1,0,2014,1,11,11
6,femenino ,0,totonicapan,1,0,0,0,300,1,0,2014,1,13,13
10,femenino ,0,retalhuleu,0,0,0,,900,1,0,2006,0,16,0
10,masculino,0,retalhuleu,1,0,360,,240,1,0,2006,0,12,0
10,femenino ,0,retalhuleu,1,0,360,,120,1,0,2006,0,8,0
10,femenino ,0,retalhuleu,1,0,360,,420,1,0,2006,0,14,0
4,masculino,0,totonicapan,1,0,0,0,360,1,0,2014,1,10,10
4,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,13,13
3,masculino,58,totonicapan,0,0,0,0,720,1,0,2014,1,17,17
7,masculino,0,totonicapan,1,0,0,0,360,1,0,2014,1,8,8
7,masculino,0,totonicapan,1,0,0,0,540,1,0,2014,1,14,14
7,femenino ,0,totonicapan,1,0,0,0,1260,1,0,2014,1,11,11
7,femenino ,0,totonicapan,0,0,0,60,480,1,0,2014,1,15,15
7,masculino,0,totonicapan,0,0,0,0,240,1,0,2014,1,11,11
7,masculino,50,totonicapan,0,540,0,0,0,1,1,2014,1,16,16
10,femenino ,0,totonicapan,1,0,0,60,360,1,0,2014,1,8,8
10,femenino ,0,totonicapan,0,0,0,0,600,1,0,2014,1,17,17
10,femenino ,0,totonicapan,1,0,0,60,540,1,0,2014,1,12,12
10,masculino,0,totonicapan,1,0,0,0,240,1,0,2014,1,14,14
5,femenino ,0,totonicapan,1,0,120,30,60,1,0,2014,1,15,15
5,masculino,0,totonicapan,1,0,60,0,0,1,0,2014,1,12,12
12,femenino ,32,totonicapan,0,240,0,240,0,1,0,2014,1,18,18
12,femenino ,0,totonicapan,1,0,180,60,60,1,0,2014,1,15,15
9,femenino ,44,totonicapan,0,480,0,0,60,1,0,2014,1,15,15
9,femenino ,0,totonicapan,1,90,450,60,0,1,0,2014,1,11,11
9,masculino,0,totonicapan,1,90,450,0,0,1,0,2014,1,9,9
9,masculino,0,totonicapan,1,90,450,0,0,1,0,2014,1,13,13
6,masculino,48,retalhuleu,0,0,0,,420,1,0,2006,0,17,0
6,masculino,0,retalhuleu,1,0,0,,120,1,0,2006,0,8,0
6,femenino ,0,retalhuleu,1,0,0,,420,1,0,2006,0,11,0
5,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,15,15
5,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,8,8
5,masculino,0,totonicapan,1,0,0,0,0,1,0,2014,1,17,17
12,femenino ,0,totonicapan,1,10,370,0,10,1,0,2014,1,9,9
12,masculino,0,totonicapan,1,10,370,0,0,1,0,2014,1,13,13
12,masculino,0,totonicapan,1,45,465,0,0,1,0,2014,1,14,14
